id,username,discrim,bestrank
137465525306523648,Larzeax,9949,18263
137627031654367232,trueDan,7777,32670
137640305884135424,Likane,8178,18737
137658730564157450,yaki,1675,35054
137670198500130817,Biggins,0966,4266
137785904998776832,Corso,9079,6991
137962963511410688,xTommyyz,3205,34927
138089092696113152,werdna,7064,34215
138255255656857601,$uryaS,9259,591
138259983698624512,Egge,8585,9745
138370302231969792,"Insane Boomer",8295,14512
138382046631428096,kakegutten,1297,16637
138384059939291137,Osirxs,8476,24161
138437661076619264,Stirbz,6585,30451
138439993453445120,Zythraxx,3966,36105
138456998051184640,"Sloppy Snail",3985,29360
138483579712831490,Gliphs,8275,12462
138485218376941568,Wombley2000,7306,34546
138704311646420992,"Donnie The Danger Dino",7256,8951
138706099023904768,GIGGZ,1108,12388
138720024645992448,TigerKara,8022,31989
138720101481447424,DigZo,8595,8605
138757922724380672,Your_not_fat_drinkoj,3780,35323
138797345776205825,High,1234,13572
138820472614682624,dondeh,5556,8933
138845070060158977,armo,6377,2854
138852111210250240,Bamer0n,6323,3607
138856862836719616,"Eli | Creature",7423,9915
138870662058999808,Rullbyon,8986,27368
138873161440559104,Danny,5390,7805
138901948618244096,Seiaka,0019,28282
138967166375559169,marellum,7256,20188
139010213872140288,TwoSights,1604,32923
139059027660374016,Noxorious,3020,23537
139131826986811392,diplomat,7044,8685
